Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C9",0603,3,100n,
C10,0805,1,2u,
"C11, C13",0603,2,1u,
C2,0603,1,0.33u,
C3,0805,1,1u,
C4,CP_Elec_6.3x5.4,1,47u,
C5,1210,1,.1u,
C6,CAPC6050X550N,1,2.2u,
"C7, C8",1210,2,1u,
D1,D_SMA,1,US1J,
D2,Nexperia_CFP3_SOD-123W,1,10V,
"J1, J2",tyco,2,Tyco,
J3,Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,1,NANOFIT-4PIN,
L1,IND_BOURNS_SRR0908,1,15m,
Q1,TO-252-3_TabPin2,1,Q_NMOS_GSD,
Q2,SOT-23,1,Q_NMOS_GSD,
R10,0402,1,35k,
R13,0805,1,13.7R,
R15,0805,1,750k,
R16,0805,1,100k,
R17,0805,1,200k,
R18,1210,1,180k,
R19,0201,1,10R,
R5,0805,1,10k,
R6,0805,1,680,
R7,1206,1,47k,
R8,1206,1,100k,
R9,1210,1,205k,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
U1,SOT-23-5,1,TLV3701QDBVREP,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,HV9961LG-G,
U3,Q_Wurth_WL-OCPT_LSOP4-STANDARD,1,Optocoupler,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
U5,TO-252-3_TabPin2,1,LM1117DT-5.0,
U6,SOT-23-5,1,74AHC1G02,
