Designator,Mid X,Mid Y,Rotation,Layer
C1,184.404,-67.2338,180.0,top
C10,124.7648,-54.5084,180.0,bottom
C11,177.6984,-55.7022,180.0,top
C12,180.0606,-57.5056,270.0,top
C13,180.0,-62.0,270.0,top
C2,176.403,-66.7258,90.0,top
C3,178.3334,-67.437,90.0,top
C4,175.5394,-73.5584,90.0,top
C5,126.3396,-62.9158,180.0,top
C6,132.588,-65.2272,270.0,top
C7,150.0632,-59.436,0.0,top
C8,150.0632,-62.6872,0.0,top
C9,162.4584,-62.611,0.0,top
D1,138.3538,-61.341,90.0,top
D2,120.9802,-62.8396,0.0,top
J3,165.7604,-72.3072,270.0,top
L1,145.415,-52.1208,0.0,top
Q1,134.0164,-51.1194,90.0,top
Q2,166.0652,-62.9299,0.0,top
R10,120.4468,-69.0372,0.0,top
R13,132.4,-58.9,0.0,top
R15,126.2126,-51.8414,270.0,top
R16,121.7676,-55.4228,90.0,top
R17,119.253,-55.372,90.0,top
R18,126.4158,-66.7766,180.0,top
R19,129.75,-55.2,0.0,top
R5,162.4584,-60.3,180.0,top
R6,168.4274,-66.04,0.0,top
R7,170.2816,-59.4106,270.0,top
R8,173.2788,-63.2714,0.0,top
R9,120.8786,-66.7766,180.0,top
U1,120.4214,-59.1312,180.0,top
U2,126.557,-58.1914,90.0,top
U3,154.0764,-66.9798,0.0,top
U4,175.4886,-59.2836,270.0,top
U5,183.2139,-74.5,270.0,top
U6,162.4076,-65.2272,180.0,top
